# Trait data from LIS chado database; TO terms chosen by SH
#primaryidentifier	TO terms	experimenttraitname	experimenttraitdescription
phavu.Branching 1-1	TO:0000547	Branch number	Number of branches per plant were estimated by counting the stems winding around the string supports halfway up the height of the plant and dividing by the number of plants on that support.
phavu.Canopy width 1-1		Plant width	Measurement across the planted row including leaf coverage at the R7 growth stage.
phavu.Canopy width 1-2		Plant width	Measurement across the row including leaf coverage at the R7 growth stage.
phavu.Canopy width 1-3		Plant width	Measurement across the row including leaf coverage at the R7 growth stage.
phavu.Climbing 1-1		Climbing ability 45 days after planting	Overall climbing ability was measured using a visual scale. It ranged from 1 to 9 with 1 indicating the tallest and most aggressive plants and 9 the shortest and least aggressive plants.
phavu.Climbing 1-3		Climbing ability 45 days after planting	Overall climbing ability was measured using a visual scale. It ranged from 1 to 9 with 1 indicating the tallest and most aggressive plants and 9 the shortest and least aggressive plants.
phavu.Climbing 1-4		Climbing ability 45 days after planting	Overall climbing ability was measured using a visual scale. It ranged from 1 to 9 with 1 indicating the tallest and most aggressive plants and 9 the shortest and least aggressive plants.
phavu.Climbing 1-5		Climbing ability 45 days after planting	Overall climbing ability was measured using a visual scale. It ranged from 1 to 9 with 1 indicating the tallest and most aggressive plants and 9 the shortest and least aggressive plants.
phavu.Climbing 1-6		Climbing ability 45 days after planting	Overall climbing ability was measured using a visual scale. It ranged from 1 to 9 with 1 indicating the tallest and most aggressive plants and 9 the shortest and least aggressive plants.
phavu.Climbing 1-7		Climbing ability 45 days after planting	Overall climbing ability was measured using a visual scale. It ranged from 1 to 9 with 1 indicating the tallest and most aggressive plants and 9 the shortest and least aggressive plants.
phavu.Climbing 1-8		Climbing ability 75 days after planting	Overall climbing ability was measured using a visual scale. It ranged from 1 to 9 with 1 indicating the tallest and most aggressive plants and 9 the shortest and least aggressive plants.
phavu.First flower, bean 1-1	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-10	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-2	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-3	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-4	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-5	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-6	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-7	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-8	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 1-9	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 2-1	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 2-2	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 2-3	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 2-4	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 2-5	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 2-7	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 2-9	TO:0000344	Days to flowering	Days to flowering
phavu.First flower, bean 3-1	TO:0000344	Days to flowering	The number of days from planting to 50% of the plants within a plot having flowers.
phavu.First flower, bean 3-4	TO:0000344	Days to flowering	The number of days from planting to 50% of the plants within a plot having flowers.
phavu.First flower, bean 3-7	TO:0000344	Days to flowering	The number of days from planting to 50% of the plants within a plot having flowers.
phavu.Full maturity, bean 1-1	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 1-2	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 1-3	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 1-4	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 1-5	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 1-6	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 1-7	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 1-8	TO:0000469 	Days to maturity	Days to maturity
phavu.Full maturity, bean 2-1	TO:0000469 	Days to maturity	Days to harvest maturity
phavu.Full maturity, bean 2-2	TO:0000469 	Days to maturity	Days to harvest maturity
phavu.Full maturity, bean 3-1	TO:0000469 	Days to maturity	The number of days from planting to harvest maturity of seeds.
phavu.Full maturity, bean 3-11	TO:0000469 	Days to maturity	The number of days from planting to harvest maturity of seeds.
phavu.Full maturity, bean 3-13	TO:0000469 	Days to maturity	The number of days from planting to harvest maturity of seeds.
phavu.Full maturity, bean 3-4	TO:0000469 	Days to maturity	The number of days from planting to harvest maturity of seeds.
phavu.Full maturity, bean 3-7	TO:0000469 	Days to maturity	The number of days from planting to harvest maturity of seeds.
phavu.Internode length 1-1	TO:0000145 	Internode length	Measure of an internode length halfway up the height of the plant
phavu.Internode length 1-2	TO:0000145 	Internode length	Measure of an internode length halfway up the height of the plant
phavu.Internode length 1-4	TO:0000145 	Internode length	Measure of an internode length halfway up the height of the plant
phavu.Internode length 1-6	TO:0000145 	Internode length	Measure of an internode length halfway up the height of the plant
phavu.Last flower 1-1		Days to end of flowering	The number of days from planting to 100% of the plants within a plot having ended flowering.
phavu.Last flower 1-12		Days to end of flowering	The number of days from planting to 100% of the plants within a plot having ended flowering.
phavu.Last flower 1-5		Days to end of flowering	The number of days from planting to 100% of the plants within a plot having ended flowering.
phavu.Last flower 1-9		Days to end of flowering	The number of days from planting to 100% of the plants within a plot having ended flowering.
phavu.Plant height 1-1	TO:0000207	Plant height	Measurement from where the soil touched the hypocotyl to the furthest vegetative or reproductive meristem in indeterminate or determinate plants, respectively. Plant heights recorded for the R6 growth stage.
phavu.Plant height 1-2	TO:0000207	Plant height	Measurement from where the soil touched the hypocotyl to the furthest vegetative or reproductive meristem in indeterminate or determinate plants, respectively. Plant heights recorded for the R6 growth stage.
phavu.Plant height 1-3	TO:0000207	Plant height	Measurement from where the soil touched the hypocotyl to the furthest vegetative or reproductive meristem in indeterminate or determinate plants, respectively. Plant heights recorded for the R6 growth stage.
phavu.Plant height 1-4	TO:0000207	Plant height	Measurement from where the soil touched the hypocotyl to the furthest vegetative or reproductive meristem in indeterminate or determinate plants, respectively. Plant heights recorded for the R6 growth stage.
phavu.Plant height 2-1	TO:0000207	Plant height 45 days after planting	Height measured from the plant base at ground level to the uppermost leaflet on the longest branch.
phavu.Plant height 2-2	TO:0000207	Plant height 45 days after planting	Height measured from the plant base at ground level to the uppermost leaflet on the longest branch.
phavu.Plant height 2-3	TO:0000207	Plant height 45 days after planting	Height measured from the plant base at ground level to the uppermost leaflet on the longest branch.
phavu.Plant height 2-4	TO:0000207	Plant height 45 days after planting	Height measured from the plant base at ground level to the uppermost leaflet on the longest branch.
phavu.Plant height 2-5	TO:0000207	Plant height 75 days after planting	Height measured from the plant base at ground level to the uppermost leaflet on the longest branch.
phavu.Plant height 2-6	TO:0000207	Plant height 75 days after planting	Height measured from the plant base at ground level to the uppermost leaflet on the longest branch.
phavu.Plant height 2-7	TO:0000207	Plant height 75 days after planting	Height measured from the plant base at ground level to the uppermost leaflet on the longest branch.
phavu.Plant P 1-1	TO:0000511	Phosphorus uptake in low phosphorus field (PUP, PAE)	Phosphorus mass content per plant
phavu.Plant P 1-2	TO:0000511	Phosphorus uptake in low phosphorus field (PUP, PAE)	Phosphorus mass content per plant
phavu.Plant P 2-1	TO:0000511	P accumulation	Total P accumulation calculated based on analysis of P concentration in plant tissues. Presumably whole plant measurement.
