# this is a standard expression file, modified slightly from the McClean Lab isoforms.fpkm_tracking file from Phytozome
#
# 1. source name, PMID, geo, bioProject, sra
McClean Lab Phaseolus vulgaris Expression Data				
# 2. url
https://www.ag.ndsu.edu/plantsciences/people/faculty/mcclean
# 3. description
This is an unpublished expression atlas from the McClean lab at North Dakota State.
# 4. expression unit
FPKM
# 5. number of samples
11
# 6. Sample name and description in same order as the columns (adjusted from buggy version on site)
1	FB	Flower buds
2	YP	Young pods
3	YT	Young trifoliates
4	FL	Flowers
5	S10	Stem 10
6	N	Nodules
7	R19	Root 19
8	S19	Stem 19
9	GMP	Green mature pods
10	L	Leaves
11	R10	Root 10
# 7. expression data
#gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.010G025500	0.272706	0.114553	0.157607	0.108905	0.391967	0.0767167	0.0844732	0.14421	0.49984	0.501774	0.0782719
Phvul.010G076000	29.5538	19.185	11.6108	67.5745	14.3862	36.9626	35.4996	16.511	39.5388	8.69085	45.3691
Phvul.010G033600	3.40452	3.09303	0.438453	10.9027	0	4.04395	3.24187	2.75311	3.46657	0	1.19015
Phvul.010G165000	0.654417	0.0569501	0.0989052	0.244884	0.0911153	0.16789	0.328928	0.0863442	0.00462256	0.031524	0.0561484
Phvul.010G113500	0.068234	0.0698883	1.42633	0	0	0.342032	0.125643	0	0.0186846	2.5622	0
Phvul.010G008700	0.376828	0.746427	0.524861	0.275107	1.13588	0.898724	0.984953	0.622578	5.13854	0.536308	0.571419
Phvul.010G120800	12.2174	2.6554	1.9457	6.34037	4.4889	19.6385	5.57178	2.27144	4.16376	2.17781	5.45711
Phvul.010G028000	0	0	0	6.60281E-05	0	0.100576	0.161017	0.01158	0	0	0.184384
Phvul.010G028000	0	0	0	6.28054E-05	0	1.73159	0.991747	6.98209E-05	0	0	1.42404
Phvul.010G110500	0.572549	0	0	0.153739	0	0	0	0	0	0	0
Phvul.010G017600	15.8708	28.2782	3.23547	68.9471	13.8863	4.81082	6.5818	6.04237	57.6588	0.34471	12.4213
