# this is a legfed-expression file, modified slightly from normalizeddata.txt from PvGEA
#
# 1. source name, PMID, geo, bioProject, sra
Phaseolus vulgaris Gene Expression Atlas	25283805		PRJNA210619	SRP046307
# 2. URL
http://plantgrn.noble.org/PvGEA/
# 3. description
Phaseolus vulgaris L., or common bean, is an important source of proteins, micronutrients and calories for over three hundred million people worldwide. The high levels of dietary protein in bean seeds (between 20 and 25%) and micronutrients complement the high carbohydrates found in maize and cassava (Broughton et al., 2003). In addition to their important contribution to human health, legumes are also important contributors to biological Nitrogen (N), contributing approximately 21 million metric tons of N into agricultural lands each year (Herridge et al., 2008) . Despite the international importance of common bean, both in terms of economics and consumption, genetic resources for this species have been lacking. This atlas presents the gene expression patterns of 24 unique samples collected from seven distinct tissues of Phaseolus vulgaris cv. negro jamapa; roots, nodules, leaves, stems, flowers, seeds, and pods. Samples were collected at developmentally important time-points spanning the processes of symbiosis, seed and pod development. Plants were either provided with nutrients via fertilizer or inoculated with either effective or ineffective rhizobium. Plants inoculated with ineffective rhizobium formed nodules, but did not fix N2, resulting in N deficient plants.
# 4. expression unit
RPKM
# 5. number of samples
24
# 6. Sample number, name and description in same order as the columns (adjusted from buggy version on site)
1	FY	Young flowers, collected prior to floral emergence
2	LF	Leaf tissue from fertilized plants collected at the same time of LE and LI
3	L5	Leaf tissue collected 5 days after plants were inoculated with effective rhizoubium
4	LE	Leaf tissue collected 21 days after plants were inoculated with effective rhizobium
5	LI	Leaf tissue collected 21 days after plants were inoculated with ineffective rhizobium
6	N5	Pre-fixing (effective) nodules collected 5 days after inoculation
7	NE	Effectively fixing nodules collected 21 days after inoculation
8	NI	Ineffectively fixing nodules collected 21 days after inoculation
9	P1	Pods between 10 and 11 cm long, associated with stage 1 seeds (pod only)
10	P2	Pods between 12 and 13 cm long associated with stage 2 seeds (pod only)
11	PH	Pods approximately 9cm long, associated with seeds at heart stage (pod only)
12	PY	Young pods, collected 1 to 4 days after floral senescence. Samples contain developing embryos at globular stage
13	RF	Whole roots from fertilized plants collected at the same time as RE and RI
14	R5	Whole roots separated from 5 day old pre-fixing nodules
15	RE	Whole roots separated from fix+ nodules collected 21 days after inoculation
16	RI	Whole roots separated from fix- nodules collected 21 days after inoculation
17	RT	Root tips, 0.5 cm of tissue, collected from fertilized plants at 2nd trifoliate stage of development
18	S1	Stage 1 seeds, between 6 and 7 mm across and approximately 50 mg	
19	S2	Stage 2 seeds, between 8 and 10 mm across and between 140 and 150 mg
20	SH	Heart stage seeds, between 3 and 4 mm across and approximately 7 mg
21	ST	Shoot tip, including the apical meristem, collected at the 2nd trifoliate stage
22	YL	Fully expanded 2nd trifoliate leaf tissue from plants provided with fertilizer
23	YR	Whole roots, including root tips, collected at the 2nd trifoliate stage of development
24	YS	All stem internodes above the cotyledon collected at the 2nd trifoliate stage
# 7. expression data
#GeneID	PVFY	PVL	PVL5	PVLE	PVLI	PVN5	PVNE	PVNI	PVP1	PVP2	PVPH	PVPY	PVR	PVR5	PVRE	PVRI	PVRT	PVS1	PVS2	PVSH	PVST	PVYL	PVYR	PVYS
Phvul.001G000100.1	23	22	25	22	43	55	27	53	19	28	31	10	35	29	32	43	52	28	14	34	56	49	30	38
Phvul.001G000100.2	31	29	33	29	58	74	36	71	26	38	41	13	47	39	42	57	68	37	19	46	75	65	40	51
Phvul.001G000200.1	3	1	11	1	11	1	0	3	1	2	0	0	0	5	0	2	0	0	1	1	2	0	0	5
Phvul.001G000300.1	27	7	22	9	17	37	15	31	13	20	29	9	29	28	27	30	37	18	15	28	46	25	21	32
Phvul.001G000300.2	32	8	26	11	20	45	18	37	15	23	35	11	35	34	32	35	44	21	18	33	55	29	24	37
Phvul.001G000400.1	10	28	26	26	20	4	6	12	6	10	15	3	7	5	5	8	6	4	2	5	16	18	4	9
Phvul.001G000500.1	58	3	9	5	1	71	3	5	1	1	22	29	49	30	31	29	90	18	11	109	117	28	23	29
Phvul.001G000600.1	2	0	1	0	0	2	0	0	1	0	1	2	2	1	2	1	3	3	2	4	6	3	1	1
Phvul.001G000600.2	2	0	1	0	0	2	0	0	1	0	1	2	2	1	2	1	3	3	2	4	6	3	1	1
Phvul.001G000700.1	13	7	8	5	7	33	8	15	4	10	11	3	21	15	15	17	19	20	14	24	14	11	12	11
Phvul.001G000800.1	0	1	0	1	11	0	0	2	2	4	0	0	1	0	0	1	0	0	0	0	0	0	1	2
Phvul.001G000800.2	0	1	0	1	12	0	0	2	2	4	0	0	1	0	0	1	0	0	0	0	0	0	1	2
Phvul.001G000900.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phvul.001G001000.1	9	0	1	1	3	22	34	40	5	17	16	1	52	46	35	39	30	3	3	3	8	1	35	17
Phvul.001G001100.1	13	3	5	2	3	5	9	15	2	5	11	1	9	8	6	8	14	2	3	4	22	16	19	16
Phvul.001G001100.2	13	2	5	2	2	4	9	13	2	5	11	1	7	7	5	6	12	2	3	4	21	16	17	16
Phvul.001G001200.1	3	2	2	3	3	4	2	3	2	2	3	2	3	2	3	3	3	3	1	4	4	3	2	2
Phvul.001G001200.2	3	3	2	3	3	4	2	3	2	3	4	2	3	2	3	3	4	3	1	5	4	3	2	2
Phvul.001G001300.1	33	6	42	12	33	101	40	131	22	54	20	5	48	70	177	171	24	10	9	29	77	32	132	56
Phvul.001G001400.1	25	14	20	15	32	33	33	44	16	34	30	8	39	30	35	37	46	29	23	32	38	22	29	32
Phvul.001G001400.2	25	14	20	15	32	33	33	44	16	34	30	8	39	30	35	36	46	29	23	32	37	22	29	32
Phvul.001G001500.1	17	1	9	2	1	50	26	7	13	14	51	6	70	80	62	34	155	10	7	38	20	13	60	42
Phvul.001G001600.1	6	2	2	2	4	7	3	9	3	4	4	3	7	4	7	8	8	8	5	9	10	2	3	7
Phvul.001G001700.1	9	63	2	1	5	7	2	2	6	71	5	1	33	20	5	3	23	2	3	8	18	79	14	28
Phvul.001G001800.1	2	1	3	1	2	4	1	2	1	2	2	0	4	2	2	4	6	2	2	4	5	2	2	3
Phvul.001G001900.1	15	33	11	18	125	3	8	49	7	37	6	1	7	8	4	17	7	4	4	8	7	9	9	93
Phvul.001G002000.1	57	9	40	29	6	9	3	19	4	12	36	6	10	19	13	10	75	5	6	24	92	113	37	18
Phvul.001G002100.1	89	565	334	609	465	1	0	0	25	87	178	31	0	1	0	0	1	3	3	14	79	564	0	81
Phvul.001G002200.1	6	1	271	67	98	246	82	247	7	48	50	2	15	344	184	345	121	2	1	4	117	125	171	61
Phvul.001G002300.1	4	1	5	4	5	7	3	5	2	5	7	1	3	3	6	5	5	5	5	8	9	5	3	4
Phvul.001G002300.2	4	1	5	4	5	7	3	5	2	5	7	1	3	3	6	5	5	5	5	7	9	5	3	4
Phvul.001G002400.1	19	4	19	8	18	30	9	18	7	10	17	9	31	17	22	21	47	35	13	32	43	23	15	23
Phvul.001G002500.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
