gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.001G000100	4.644E+00	4.028E+00	5.197E+00	3.898E+00	4.595E+00	3.910E+00	3.452E+00	3.642E+00	6.603E+00	6.310E+00	3.055E+00
Phvul.001G000200	2.476E-01	0.000E+00	0.000E+00	5.200E-01	0.000E+00	0.000E+00	0.000E+00	4.127E-01	0.000E+00	0.000E+00	0.000E+00
Phvul.001G000300	2.088E+01	2.580E+01	2.763E+01	1.412E+01	2.476E+01	1.751E+01	2.218E+01	2.904E+01	2.107E+01	2.140E+01	2.214E+01
Phvul.001G000400	5.198E+00	7.282E+00	1.345E+01	4.830E+00	5.702E+00	3.897E+00	3.957E+00	4.528E+00	8.173E+00	3.783E+01	5.553E+00
Phvul.001G000500	1.872E+01	1.014E+02	3.960E+01	2.530E+01	3.493E+01	2.171E+01	3.489E+01	3.918E+01	1.456E-01	7.950E+00	3.932E+01
Phvul.001G000600	5.862E-01	2.668E+00	3.974E+00	5.740E-01	1.830E+00	3.930E+00	3.046E+00	1.553E+00	2.921E-01	1.522E+00	3.242E+00
Phvul.001G000700	1.547E+01	1.310E+01	1.101E+01	1.084E+01	9.105E+00	1.359E+01	1.170E+01	1.161E+01	9.740E+00	1.213E+01	9.200E+00
Phvul.001G000800	1.557E+00	2.266E+00	1.354E-01	6.536E+00	8.386E+00	5.738E-01	2.853E+00	7.229E+00	2.102E+01	3.044E+00	1.602E+00
Phvul.001G000900	3.258E+00	0.000E+00	2.906E-02	1.058E+00	3.980E-02	0.000E+00	0.000E+00	2.339E-02	0.000E+00	0.000E+00	0.000E+00
Phvul.001G001000	4.801E+01	5.305E+01	8.263E+00	9.144E+01	8.489E+01	3.458E+01	3.846E+01	2.912E+01	9.866E+01	6.180E+00	1.011E+02
Phvul.001G001100	2.997E+00	1.048E+01	4.169E+00	1.327E+01	2.680E+01	7.308E+00	7.002E+00	5.077E+00	1.393E+01	1.672E+01	1.764E+01
Phvul.001G001200	1.979E+00	3.149E+00	4.344E+00	1.562E+00	2.340E+00	4.649E+00	4.617E+00	2.612E+00	3.398E+00	3.976E+00	4.018E+00
Phvul.001G001300	1.504E+01	1.442E+01	1.615E+01	1.025E+01	2.201E+01	2.366E+01	3.700E+01	1.997E+01	2.657E+01	9.046E+00	2.974E+01
Phvul.001G001400	1.701E+01	2.152E+01	2.221E+01	1.598E+01	2.739E+01	2.906E+01	3.390E+01	2.774E+01	3.613E+01	2.788E+01	3.582E+01
Phvul.001G001500	9.641E+01	4.003E+01	5.045E+01	1.077E+01	5.467E+01	7.790E+01	4.802E+01	7.424E+01	2.684E+01	6.525E+01	8.611E+01
