# This file contains all markers associated with the QTLs courtesy Sassoum Lo, UC-Riverside
TaxonID	3920
Variety	IT97K-499-35
#Marker	QTL
2_54039	CPshat3
2_12700	CPshat3
2_48171	CPshat3
2_53854	CPshat3
2_32440	CPshat3
2_35187	CPshat3
2_36171	CPshat3
2_37203	CPshat3
1_1522	CPshat3
2_36761	CPshat3
2_00075	CPshat3
2_11384	CPshat3
2_15735	CPshat3
2_18504	CPshat3
2_19242	CPshat3
2_22340	CPshat3
2_30145	CPshat3
2_32533	CPshat3
2_32563	CPshat3
2_33564	CPshat3
2_39485	CPshat3
2_50002	CPshat3
2_46041	CPshat3
2_16653	CPshat3
2_27508	CPshat3
2_36742	CPshat3
2_34265	CPshat3
2_36743	CPshat3
2_32124	CPshat3
2_36825	CPshat3
2_36828	CPshat3
2_46785	CPshat3
2_27838	CPshat3
2_34044	CPshat3
2_27509	CPshat3
2_11588	CPshat3
2_14763	CPshat3
2_19151	CPshat3
2_34955	CPshat3
2_36322	CPshat3
2_36613	CPshat3
2_36827	CPshat3
2_47279	CPshat3
1_0812	CPshat3
2_03696	CPshat3
2_48454	CPshat3
1_0296	CPshat3
2_51488	CPshat3
2_10715	CPshat3
2_33117	CPshat3
2_46485	CPshat3
2_00968	CPshat3
2_05973	CPshat3
2_19500	CPshat3
2_42674	CPshat3
2_19904	CPshat3
2_19905	CPshat3
2_13041	CPshat3
2_03927	CPshat3
2_08442	CPshat3
2_45376	CPshat3
2_37286	CPshat3
2_11512	CPshat3
2_21836	CPshat3
2_42486	CPshat3
2_50102	CPshat3
2_00420	CPshat3
2_18908	CPshat3
2_00421	CPshat3
2_05623	CPshat3
2_11226	CPshat3
2_24667	CPshat3
2_33937	CPshat3
2_52844	CPshat3
2_10179	CPshat3
2_26919	CPshat3
2_34336	CPshat3
2_00535	CPshat3
2_05622	CPshat3
2_11227	CPshat3
2_12225	CPshat3
2_10178	CPshat3
2_13578	CPshat3
2_27761	CPshat3
2_28403	CPshat3
2_45094	CPshat3
2_34341	CPshat3
2_35863	CPshat3
2_36640	CPshat3
2_01927	CPshat3
2_34868	CPshat3
2_11338	CPshat3
2_18943	CPshat3
2_20305	CPshat3
2_28799	CPshat3
2_11337	CPshat3
2_17908	CPshat3
2_25784	CPshat3
2_28604	CPshat3
2_05100	CPshat3
2_08695	CPshat3
2_08697	CPshat3
2_14691	CPshat3
2_17841	CPshat3
2_18834	CPshat3
2_35683	CPshat3
2_42549	CPshat3
2_43388	CPshat3
2_00030	CPshat3
2_36290	CPshat3
2_40922	CPshat3
2_13618	CPshat3
2_35788	CPshat3
2_36805	CPshat3
2_49842	CPshat3
2_09130	CPshat3
2_13037	CPshat3
2_16782	CPshat3
2_19049	CPshat3
2_26791	CPshat3
2_32655	CPshat3
2_33845	CPshat3
1_0772	CPshat3
2_26247	CPshat3
2_53959	CPshat3
2_09575	CPshat3
2_13617	CPshat3
2_05942	CPshat3
2_18255	CPshat3
2_28200	CPshat3
2_30455	CPshat3
2_34097	CPshat3
2_41957	CPshat3
2_36200	CPshat3
2_37173	CPshat3
2_34631	CPshat3
2_46246	CPshat3
2_30418	CPshat3
2_12505	CPshat3
2_19111	CPshat3
2_19112	CPshat3
2_24714	CPshat3
2_06200	CPshat3
2_00525	CPshat5
2_00699	CPshat5
2_04913	CPshat5
2_27466	CPshat5
2_29492	CPshat5
2_30531	CPshat5
1_0835	CPshat5
2_02896	CPshat5
2_04916	CPshat5
2_16567	CPshat5
2_20429	CPshat5
2_21034	CPshat5
2_34975	CPshat5
2_35589	CPshat5
2_36558	CPshat5
2_36907	CPshat5
2_34935	CPshat5
2_34936	CPshat5
2_36906	CPshat5
2_37145	CPshat5
2_03437	CPshat5
2_12771	CPshat5
2_36219	CPshat5
2_35475	CPshat5
2_36969	CPshat5
2_38877	CPshat5
2_32397	CPshat5
2_19673	CPshat5
2_28252	CPshat5
2_29103	CPshat5
2_34765	CPshat5
2_35196	CPshat5
2_35875	CPshat5
2_36754	CPshat5
2_37661	CPshat5
2_54099	CPshat5
2_16940	CPshat5
2_16941	CPshat5
2_19674	CPshat5
2_34766	CPshat5
2_35195	CPshat5
2_37662	CPshat5
2_35557	CPshat5
2_48960	CPshat5
2_23044	CPshat5
2_31794	CPshat5
2_54144	CPshat5
2_13300	CPshat5
1_0727	CPshat5
2_03670	CPshat5
2_07336	CPshat5
2_10231	CPshat5
2_13299	CPshat5
2_13478	CPshat5
2_14498	CPshat5
2_16169	CPshat5
2_16170	CPshat5
2_19527	CPshat5
2_20153	CPshat5
2_24251	CPshat5
2_29342	CPshat5
2_29864	CPshat5
2_11814	CPshat5
2_30600	CPshat5
2_30603	CPshat5
2_34233	CPshat5
2_24250	CPshat5
2_02267	CPshat5
2_02637	CPshat5
2_07335	CPshat5
2_07347	CPshat5
2_07348	CPshat5
2_13216	CPshat5
2_13217	CPshat5
2_13477	CPshat5
2_14495	CPshat5
2_14496	CPshat5
2_14497	CPshat5
2_14940	CPshat5
2_14941	CPshat5
2_21164	CPshat5
2_34411	CPshat5
2_30602	CPshat5
2_34477	CPshat5
2_07544	CPshat5
2_03149	CPshat5
2_13549	CPshat5
2_15792	CPshat5
2_22203	CPshat5
2_22204	CPshat5
2_33951	CPshat5
2_13548	CPshat5
2_22907	CPshat5
2_23718	CPshat5
2_23719	CPshat5
2_41107	CPshat5
2_02973	CPshat5
2_02974	CPshat5
2_05728	CPshat5
2_11977	CPshat5
2_29011	CPshat5
2_11255	CPshat5
2_11616	CPshat5
2_30879	CPshat5
2_32236	CPshat5
2_53923	CPshat5
2_04805	CPshat5
2_33511	CPshat5
2_04804	CPshat5
2_52642	CPshat5
2_40968	CPedl5
2_00602	CPedl5
2_48853	CPedl5
2_55502	CPedl5
2_20897	CPedl5
2_25666	CPedl5
2_36014	CPedl5
2_37414	CPedl5
2_35729	CPedl5
2_38455	CPedl5
2_49300	CPedl5
2_13988	CPedl5
2_40932	CPedl5
2_35547	CPedl5
2_35076	CPedl5
2_35302	CPedl5
2_35303	CPedl5
2_53402	CPedl5
2_12960	CPedl5
2_14515	CPedl5
2_26055	CPedl5
2_33529	CPedl5
2_37088	CPedl5
2_41851	CPedl5
2_44997	CPedl5
2_50994	CPedl5
2_53314	CPedl5
2_03726	CPedl5
2_21103	CPedl5
2_21104	CPedl5
2_34272	CPedl5
2_35646	CPedl5
2_50802	CPedl5
2_51164	CPedl5
2_08186	CPedl5
2_41993	CPedl5
2_43732	CPedl5
2_08187	CPedl5
2_36556	CPedl5
2_35805	CPedl5
2_08346	CPedl5
2_00251	CPedl5
2_00252	CPedl5
2_00253	CPedl5
2_02361	CPedl5
2_02362	CPedl5
2_03672	CPedl5
2_14451	CPedl5
2_14714	CPedl5
2_16914	CPedl5
2_16994	CPedl5
2_21731	CPedl5
2_49658	CPedl5
2_51794	CPedl5
2_21380	CPedl5
2_14450	CPedl5
2_01425	CPedl5
2_16915	CPedl5
2_20415	CPedl5
2_30541	CPedl5
2_30542	CPedl5
2_00374	CPedl5
2_00376	CPedl5
2_24955	CPedl5
2_26663	CPedl5
2_26665	CPedl5
2_28334	CPedl5
2_31189	CPedl5
2_46476	CPedl5
2_49161	CPedl5
2_51076	CPedl5
2_52563	CPedl5
2_20727	CPedl5
2_11115	CPedl5
2_17512	CPedl5
2_19043	CPedl5
2_29947	CPedl5
2_35939	CPedl5
2_39528	CPedl5
2_24439	CPedl5
2_00559	CPedl5
2_02593	CPedl5
2_08848	CPedl5
2_10847	CPedl5
2_48635	CPedl5
2_00777	CPedl5
2_04162	CPedl5
2_04236	CPedl5
2_04237	CPedl5
2_08846	CPedl5
2_08849	CPedl5
2_16081	CPedl5
2_32363	CPedl5
2_04249	CPedl5
2_12332	CPedl5
2_29941	CPedl5
2_46777	CPedl5
2_24068	CPedl5
2_11741	CPedl5
2_28176	CPedl5
2_28822	CPedl5
2_39331	CPedl5
2_48086	CPedl5
2_17848	CPedl5
2_04420	CPedl5
2_04421	CPedl5
2_46988	CPedl5
2_11968	CPedl5
2_28699	CPedl5
2_32601	CPedl5
2_17389	CPedl5
2_27987	CPedl5
2_46151	CPedl5
2_18298	CPedl5
2_34923	CPedl5
2_36477	CPedl5
2_04472	CPedl5
2_23482	CPedl5
2_23709	CPedl5
2_23710	CPedl5
2_24594	CPedl5
2_30702	CPedl5
2_33646	CPedl5
2_34687	CPedl5
2_35726	CPedl5
2_36734	CPedl5
2_47745	CPedl5
