TaxonID	3920
Variety	IT97K-499-35
#Marker	QTL
2_48582	MAGIC-2017.ft.ld
2_09077	MAGIC-2017.ft.ld
2_07393	MAGIC-2017.ft.ld
2_12440	MAGIC-2017.ft.ld
2_22669	MAGIC-2017.ft.ld
2_44356	MAGIC-2017.ft.ld
2_20430	MAGIC-2017.ft.sd
2_18422	MAGIC-2017.ft.sd
2_31776	MAGIC-2017.ft.sd
2_15171	MAGIC-2017.ft.sd
2_32176	MAGIC-2017.ft.sd
2_18349	MAGIC-2017.ft.sd
2_14794	MAGIC-2017.ft.sd
2_20854	MAGIC-2017.ft.sd
2_44007	MAGIC-2017.gh.ld
2_24445	MAGIC-2017.gh.ld
2_53750	MAGIC-2017.gh.ld
2_33113	MAGIC-2017.gh.ld
2_18049	MAGIC-2017.gh.sd
2_08603	MAGIC-2017.gh.sd
2_14712	MAGIC-2017.seedsize.sd
2_54463	MAGIC-2017.seedsize.sd
2_32728	MAGIC-2017.seedsize.sd
2_54221	MAGIC-2017.seedsize.sd
2_19540	MAGIC-2017.mat.ni
2_41253	MAGIC-2017.mat.ni
2_10022	MAGIC-2017.mat.ri
2_20684	MAGIC-2017.mat.ri
2_19540	MAGIC-2017.mat.ri
2_41253	MAGIC-2017.mat.ri
2_14794	MAGIC-2017.mat.ri
2_20854	MAGIC-2017.mat.ri
