TaxonID	3920
Variety	IT97K-499-35
## plant trait ontology
MAGIC-2017.ft.ld.4	TO:0000344
MAGIC-2017.ft.ld.5	TO:0000344
MAGIC-2017.ft.ld.9	TO:0000344
MAGIC-2017.ft.ld.11	TO:0000344
MAGIC-2017.ft.sd.1	TO:0000344
MAGIC-2017.ft.sd.4	TO:0000344
MAGIC-2017.ft.sd.5	TO:0000344
MAGIC-2017.ft.sd.9	TO:0000344
MAGIC-2017.gh.ld.1	TO:0002756
MAGIC-2017.gh.ld.9	TO:0002756
MAGIC-2017.gh.sd.1	TO:0002756
MAGIC-2017.ss.sd.6	TO:0000391
MAGIC-2017.ss.sd.8	TO:0000391
MAGIC-2017.mat.ni.5	TO:0000469
MAGIC-2017.mat.ri.2	TO:0000469
MAGIC-2017.mat.ri.5	TO:0000469
MAGIC-2017.mat.ri.9	TO:0000469
