TaxonID	3920
Variety	IT97K-499-35
PMID
#QTL	TraitName
Adventitious root angle (manual)	Adventitious root angle
Avg root density (DIRT)	Root density
Avg root density (DIRT)	Root density
Basal root angle (manual)	Basal root angle
CPD25 (DIRT)	CPD25
CPD75 (DIRT)	CPD75
D10 (DIRT)	D10
D20 (DIRT)	D20
D50 (DIRT)	D50
D60 (DIRT)	D60
Max root width (DIRT)	Root width
Median root width (DIRT)	Root width
RTA range (DIRT)	RTA range
Stem diameter (DIRT)	Stem diameter
Stem diameter (manual)	Stem diameter
TD10 (manual)	TD10
TD15 (manual)	TD15
