#SAMPLE																
#																
#Hints:																
#sample display name	Lookup key for data column (=SRR no)	unique name for LIS Chado	Descriptive	Exp design: factors-rep combinations	tissue/organ/plant part			Chado spelling	sub-spp, cv-type	strain, line, cultivar, genotype	Other_attributes, place-holder, add extra columns	SRR(not in recc)	SAMN number	SRS number	PRJN number	SRP number
sample_name	key	sample_uniquename	description	treatment	tissue	dev_stage	age	organism	infraspecies	cultivar	other	sra_run	biosample_accession	sra_accession	bioproject_accession	sra_study
Mature seed at reprod (SRR5199304)	SRR5199304	Mature seed at reprod (SRR5199304)	Mature seed at Reproductive stage (SRR5199304)	Mature seed at reprod	Mature seed	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199304	SAMN06264156	SRS1937936	PRJNA354681	SRP097728
Immature seed at reprod (SRR5199305)	SRR5199305	Immature seed at reprod (SRR5199305)	Immature seed at Reproductive stage (SRR5199305)	Immature seed at reprod	Immature seed	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199305	SAMN06264155	SRS1937937	PRJNA354681	SRP097728
Mature pod at reprod (SRR5199306)	SRR5199306	Mature pod at reprod (SRR5199306)	Mature pod at Reproductive stage (SRR5199306)	Mature pod at reprod	Mature pod	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199306	SAMN06264154	SRS1937938	PRJNA354681	SRP097728
Shoot apical meristem at reprod (SRR5199307)	SRR5199307	Shoot apical meristem at reprod (SRR5199307)	Shoot apical meristem at Reproductive stage (SRR5199307)	Shoot apical meristem at reprod	Shoot apical meristem	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199307	SAMN06264153	SRS1937939	PRJNA354681	SRP097728
Sepal at reprod (SRR5199308)	SRR5199308	Sepal at reprod (SRR5199308)	Sepal at Reproductive stage (SRR5199308)	Sepal at reprod	Sepal	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199308	SAMN06264152	SRS1937940	PRJNA354681	SRP097728
Petal at reprod (SRR5199309)	SRR5199309	Petal at reprod (SRR5199309)	Petal at Reproductive stage (SRR5199309)	Petal at reprod	Petal	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199309	SAMN06264151	SRS1937941	PRJNA354681	SRP097728
Root at senesc (SRR5199310)	SRR5199310	Root at senesc (SRR5199310)	Root at Senescence stage (SRR5199310)	Root at senesc	Root	Senescence stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199310	SAMN06264150	SRS1937942	PRJNA354681	SRP097728
Leaf at senesc (SRR5199311)	SRR5199311	Leaf at senesc (SRR5199311)	Leaf at Senescence stage (SRR5199311)	Leaf at senesc	Leaf	Senescence stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199311	SAMN06264149	SRS1937943	PRJNA354681	SRP097728
Petiole at senesc (SRR5199312)	SRR5199312	Petiole at senesc (SRR5199312)	Petiole at Senescence stage (SRR5199312)	Petiole at senesc	Petiole	Senescence stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199312	SAMN06264148	SRS1937944	PRJNA354681	SRP097728
Petiole at reprod (SRR5199313)	SRR5199313	Petiole at reprod (SRR5199313)	Petiole at Reproductive stage (SRR5199313)	Petiole at reprod	Petiole	Reproductive stage		Cajanus cajan	ICPL87119	Asha(ICPL87119)		SRR5199313	SAMN06264147	SRS1937945	PRJNA354681	SRP097728
