#ID	pathway	protein
6860303	ent-kaurene biosynthesis	Phvul.001G151900.1
6860303	ent-kaurene biosynthesis	Phvul.001G152100.1
6860303	ent-kaurene biosynthesis	Phvul.005G048500.1
6860222	flavonoid biosynthesis	Phvul.005G131400.1
6860222	flavonoid biosynthesis	Phvul.009G167800.1
6860222	flavonoid biosynthesis	Phvul.008G223500.1
6860222	flavonoid biosynthesis	Phvul.002G132900.1
6860222	flavonoid biosynthesis	Phvul.011G084300.1
6860222	flavonoid biosynthesis	Phvul.003G147000.1
6860222	flavonoid biosynthesis	Phvul.005G184500.1
6860222	flavonoid biosynthesis	Phvul.003G146900.1
6860222	flavonoid biosynthesis	Phvul.001G001300.1
6860222	flavonoid biosynthesis	Phvul.001G083000.1
6860222	flavonoid biosynthesis	Phvul.009G167700.1
6860222	flavonoid biosynthesis	Phvul.006G057300.1
6860222	flavonoid biosynthesis	Phvul.008G098500.1
6860222	flavonoid biosynthesis	Phvul.001G244000.1
6860222	flavonoid biosynthesis	Phvul.010G000300.1
6860222	flavonoid biosynthesis	Phvul.003G261900.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.009G064000.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.005G142500.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.002G110300.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.003G152300.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.002G251100.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.011G065800.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.006G122600.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.003G214400.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.001G267000.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.010G082300.1
6860339	GDP-D-rhamnose biosynthesis	Phvul.011G065700.1
6860267	canavanine biosynthesis	Phvul.009G036600.1
6860267	canavanine biosynthesis	Phvul.009G059600.1
6860267	canavanine biosynthesis	Phvul.002G296600.1
6860267	canavanine biosynthesis	Phvul.008G270600.1
6860267	canavanine biosynthesis	Phvul.003G209800.1
6860298	glutathione redox reactions II	Phvul.004G083600.1
6860238	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	Phvul.002G049000.1
6860238	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	Phvul.004G170700.1
6860238	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	Phvul.007G052000.1
6860230	sulfate activation for sulfonation	Phvul.004G045400.1
6860230	sulfate activation for sulfonation	Phvul.007G062900.1
6860389	Salicylic acid signaling	Phvul.006G197300.1
6860389	Salicylic acid signaling	Phvul.005G124100.1
6860389	Salicylic acid signaling	Phvul.006G197400.1
6860389	Salicylic acid signaling	Phvul.001G249300.1
6860389	Salicylic acid signaling	Phvul.010G127400.1
6860389	Salicylic acid signaling	Phvul.003G129200.1
6860389	Salicylic acid signaling	Phvul.010G102800.1
6860389	Salicylic acid signaling	Phvul.002G002000.1
6860389	Salicylic acid signaling	Phvul.008G169000.1
6860389	Salicylic acid signaling	Phvul.009G152900.1
6860389	Salicylic acid signaling	Phvul.009G225300.1
6860389	Salicylic acid signaling	Phvul.003G197500.1
6860389	Salicylic acid signaling	Phvul.006G197200.1
6860389	Salicylic acid signaling	Phvul.007G003600.1
6860389	Salicylic acid signaling	Phvul.011G093700.1
6860389	Salicylic acid signaling	Phvul.003G126800.1
6860389	Salicylic acid signaling	Phvul.001G072200.1
6860389	Salicylic acid signaling	Phvul.007G067800.1
6860389	Salicylic acid signaling	Phvul.007G198900.1
6860389	Salicylic acid signaling	Phvul.001G123300.1
6860389	Salicylic acid signaling	Phvul.009G152800.1
6860389	Salicylic acid signaling	Phvul.009G125900.1
6860389	Salicylic acid signaling	Phvul.002G263400.1
6860389	Salicylic acid signaling	Phvul.011G203400.1
6860389	Salicylic acid signaling	Phvul.006G196900.1
6860389	Salicylic acid signaling	Phvul.006G197100.1
6860389	Salicylic acid signaling	Phvul.001G227000.1
6860389	Salicylic acid signaling	Phvul.002G275000.1
6860239	IAA biosynthesis II	Phvul.009G038900.1
6860239	IAA biosynthesis II	Phvul.010G142600.1
6860239	IAA biosynthesis II	Phvul.009G127200.1
6860239	IAA biosynthesis II	Phvul.005G161700.1
6860239	IAA biosynthesis II	Phvul.010G142700.1
6860244	methionine salvage pathway	Phvul.001G222800.1
6860244	methionine salvage pathway	Phvul.001G216700.1
6860244	methionine salvage pathway	Phvul.007G040700.1
6860244	methionine salvage pathway	Phvul.009G000700.1
6860244	methionine salvage pathway	Phvul.007G040800.1
6860244	methionine salvage pathway	Phvul.009G000600.1
6860244	methionine salvage pathway	Phvul.007G210700.1
6860244	methionine salvage pathway	Phvul.009G226400.1
6860244	methionine salvage pathway	Phvul.004G172300.1
6860244	methionine salvage pathway	Phvul.003G120300.1
6860244	methionine salvage pathway	Phvul.003G120000.1
6860244	methionine salvage pathway	Phvul.001G216600.1
6860244	methionine salvage pathway	Phvul.002G293000.1
6860244	methionine salvage pathway	Phvul.002G305000.1
6860244	methionine salvage pathway	Phvul.003G232400.1
6860206	folate polyglutamylation I	Phvul.002G290300.1
6860206	folate polyglutamylation I	Phvul.008G184200.1
6860206	folate polyglutamylation I	Phvul.006G216000.1
6860206	folate polyglutamylation I	Phvul.001G060700.1
6860206	folate polyglutamylation I	Phvul.003G286600.1
6860206	folate polyglutamylation I	Phvul.003G051100.1
6860206	folate polyglutamylation I	Phvul.007G006400.1
6860206	folate polyglutamylation I	Phvul.008G230100.1
6860206	folate polyglutamylation I	Phvul.004G071100.1
6860206	folate polyglutamylation I	Phvul.001G266600.1
6860254	biotin biosynthesis II	Phvul.003G147900.1
6860254	biotin biosynthesis II	Phvul.008G087600.1
6860254	biotin biosynthesis II	Phvul.002G180400.1
6860254	biotin biosynthesis II	Phvul.011G024300.1
6860254	biotin biosynthesis II	Phvul.001G024100.1
6860254	biotin biosynthesis II	Phvul.006G105400.1
6860254	biotin biosynthesis II	Phvul.007G122200.1
6860254	biotin biosynthesis II	Phvul.011G023300.1
6860254	biotin biosynthesis II	Phvul.004G071100.1
6860346	medicarpin biosynthesis	Phvul.011G044500.1
6860346	medicarpin biosynthesis	Phvul.009G059000.1
6860346	medicarpin biosynthesis	Phvul.011G044700.1
6860346	medicarpin biosynthesis	Phvul.002G033200.1
6860242	vitamin E biosynthesis	Phvul.007G175500.1
6860242	vitamin E biosynthesis	Phvul.011G017200.1
6860242	vitamin E biosynthesis	Phvul.008G194300.1
6860242	vitamin E biosynthesis	Phvul.009G108200.1
6860242	vitamin E biosynthesis	Phvul.011G017100.1
6860242	vitamin E biosynthesis	Phvul.007G279000.1
6860242	vitamin E biosynthesis	Phvul.003G143900.1
6860320	asparagine biosynthesis III	Phvul.002G101900.1
6860320	asparagine biosynthesis III	Phvul.001G252200.1
6860320	asparagine biosynthesis III	Phvul.006G069300.1
6860320	asparagine biosynthesis III	Phvul.008G259900.1
6860220	pantothenate biosynthesis I	Phvul.007G209400.1
6860220	pantothenate biosynthesis I	Phvul.009G075100.1
6860220	pantothenate biosynthesis I	Phvul.002G008700.1
6860220	pantothenate biosynthesis I	Phvul.010G104900.1
6860220	pantothenate biosynthesis I	Phvul.008G185600.1
6860207	alanine biosynthesis II	Phvul.002G150800.1
6860207	alanine biosynthesis II	Phvul.010G123200.1
6860207	alanine biosynthesis II	Phvul.002G059200.1
6860207	alanine biosynthesis II	Phvul.009G175300.1
6860207	alanine biosynthesis II	Phvul.003G203500.1
6860318	aspartate biosynthesis I	Phvul.001G047000.1
6860318	aspartate biosynthesis I	Phvul.001G250600.1
6860318	aspartate biosynthesis I	Phvul.011G127800.1
6860318	aspartate biosynthesis I	Phvul.009G106800.1
6860318	aspartate biosynthesis I	Phvul.002G262100.1
6860355	glycine biosynthesis I	Phvul.008G184200.1
6860355	glycine biosynthesis I	Phvul.006G216000.1
6860355	glycine biosynthesis I	Phvul.003G286600.1
6860355	glycine biosynthesis I	Phvul.003G051100.1
6860355	glycine biosynthesis I	Phvul.004G071100.1
6860355	glycine biosynthesis I	Phvul.001G266600.1
6860336	salicylate biosynthesis	Phvul.001G177700.1
6860336	salicylate biosynthesis	Phvul.007G150500.1
6860336	salicylate biosynthesis	Phvul.007G096300.1
6860336	salicylate biosynthesis	Phvul.001G177800.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.010G076700.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.007G240100.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.010G010900.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.007G239500.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.001G165600.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.001G008900.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.009G172200.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.010G077000.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.008G155000.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.010G011000.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.007G239400.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.006G039800.1
6860241	hydroxycinnamic acid serotonin amides biosynthesis	Phvul.010G079100.1
6860349	citrulline-nitric oxide cycle	Phvul.011G015300.1
6860349	citrulline-nitric oxide cycle	Phvul.009G036600.1
6860349	citrulline-nitric oxide cycle	Phvul.002G296600.1
6860349	citrulline-nitric oxide cycle	Phvul.003G209800.1
6860232	cholesterol biosynthesis III (via desmosterol)	Phvul.011G040100.1
6860232	cholesterol biosynthesis III (via desmosterol)	Phvul.002G074200.1
6860232	cholesterol biosynthesis III (via desmosterol)	Phvul.002G074300.1
6860232	cholesterol biosynthesis III (via desmosterol)	Phvul.004G160000.1
6860219	oryzalexin A-F biosynthesis	Phvul.005G048500.1
6860384	UDP-D-apiose biosynthesis	Phvul.005G128500.1
6860384	UDP-D-apiose biosynthesis	Phvul.011G088900.1
6860310	threonine biosynthesis from homoserine	Phvul.003G133700.1
6860310	threonine biosynthesis from homoserine	Phvul.008G292300.1
6860310	threonine biosynthesis from homoserine	Phvul.005G156300.1
6860385	Xylan Biosynthesis	Phvul.009G064700.1
6860385	Xylan Biosynthesis	Phvul.002G016000.1
6860385	Xylan Biosynthesis	Phvul.007G164400.1
6860385	Xylan Biosynthesis	Phvul.009G107900.1
6860385	Xylan Biosynthesis	Phvul.009G146400.1
6860385	Xylan Biosynthesis	Phvul.001G175200.1
6860385	Xylan Biosynthesis	Phvul.001G021800.1
6860293	fructan biosynthesis	Phvul.003G217900.1
6860293	fructan biosynthesis	Phvul.002G061200.1
6860380	lysine biosynthesis VI	Phvul.001G177300.1
6860380	lysine biosynthesis VI	Phvul.002G217100.1
6860380	lysine biosynthesis VI	Phvul.001G003100.1
6860380	lysine biosynthesis VI	Phvul.001G170900.1
6860380	lysine biosynthesis VI	Phvul.011G012000.1
6860380	lysine biosynthesis VI	Phvul.008G075400.1
6860380	lysine biosynthesis VI	Phvul.001G265600.1
6860380	lysine biosynthesis VI	Phvul.010G108900.1
6860380	lysine biosynthesis VI	Phvul.004G070100.1
6860380	lysine biosynthesis VI	Phvul.002G323900.1
6860380	lysine biosynthesis VI	Phvul.007G066600.1
6860312	methionine biosynthesis II	Phvul.001G113800.1
6860312	methionine biosynthesis II	Phvul.008G292300.1
6860312	methionine biosynthesis II	Phvul.003G036100.1
6860312	methionine biosynthesis II	Phvul.011G157500.1
6860312	methionine biosynthesis II	Phvul.001G153900.1
6860312	methionine biosynthesis II	Phvul.001G125400.1
6860312	methionine biosynthesis II	Phvul.004G051600.1
6860265	kievitone biosynthesis	Phvul.006G136300.1
6860227	gamma-glutamyl cycle	Phvul.006G094600.1
6860227	gamma-glutamyl cycle	Phvul.006G094500.1
6860227	gamma-glutamyl cycle	Phvul.002G289200.1
6860227	gamma-glutamyl cycle	Phvul.006G094700.1
6860227	gamma-glutamyl cycle	Phvul.002G211700.1
6860383	Strigolactone signaling	Phvul.006G110100.1
6860383	Strigolactone signaling	Phvul.008G080800.1
6860383	Strigolactone signaling	Phvul.010G157700.1
6860383	Strigolactone signaling	Phvul.006G068500.1
