TaxonID	3847
#Linkage Group	Number	Genetic Map
GmClassical_A2-CLG7+9	11	GmClassical
GmClassical_B1-CLGunknown	25	GmClassical
GmClassical_B2-CLG17	20	GmClassical
GmClassical_C1-CLG21	24	GmClassical
GmClassical_C2-CLG1a	1	GmClassical
GmClassical_C2-CLG1b	2	GmClassical
GmClassical_C2-CLG1c	3	GmClassical
GmClassical_C2-CLG1d	4	GmClassical
GmClassical_C2-CLG1e	5	GmClassical
GmClassical_D1a-CLG3	6	GmClassical
GmClassical_D1b-CLG11	15	GmClassical
GmClassical_D2-CLG20	23	GmClassical
GmClassical_E-CLG14	18	GmClassical
GmClassical_F-CLG13	17	GmClassical
GmClassical_F-CLG6+8	10	GmClassical
GmClassical_G-CLG18	21	GmClassical
GmClassical_I-CLG4a	7	GmClassical
GmClassical_I-CLG4b	8	GmClassical
GmClassical_J-CLG19	22	GmClassical
GmClassical_K-CLG12+2	16	GmClassical
GmClassical_L-CLG5	9	GmClassical
GmClassical_N-CLG10a	12	GmClassical
GmClassical_N-CLG10b	13	GmClassical
GmClassical_N-CLG10c	14	GmClassical
GmClassical_O-CLG15	19	GmClassical
