TaxonID	3847
Variety	Williams82
#Linkage Group	Number	Genetic Map
GmConsensus40_A1	1	GmConsensus40
GmConsensus40_A2	2	GmConsensus40
GmConsensus40_B1	3	GmConsensus40
GmConsensus40_B2	4	GmConsensus40
GmConsensus40_C1	5	GmConsensus40
GmConsensus40_C2	6	GmConsensus40
GmConsensus40_D1a	7	GmConsensus40
GmConsensus40_D1b	8	GmConsensus40
GmConsensus40_D2	9	GmConsensus40
GmConsensus40_F	10	GmConsensus40
GmConsensus40_G	11	GmConsensus40
GmConsensus40_H	12	GmConsensus40
GmConsensus40_I	13	GmConsensus40
GmConsensus40_J	14	GmConsensus40
GmConsensus40_K	15	GmConsensus40
GmConsensus40_L	16	GmConsensus40
GmConsensus40_M	17	GmConsensus40
GmConsensus40_N	18	GmConsensus40
GmConsensus40_O	19	GmConsensus40
