#Linkage Group	Number	Genetic Map
GmRAPD-NAU_A	1	GmRAPD-NAU
GmRAPD-NAU_B	2	GmRAPD-NAU
GmRAPD-NAU_C	3	GmRAPD-NAU
GmRAPD-NAU_D	4	GmRAPD-NAU
GmRAPD-NAU_E	5	GmRAPD-NAU
GmRAPD-NAU_F	6	GmRAPD-NAU
GmRAPD-NAU_G	7	GmRAPD-NAU
GmRAPD-NAU_H	8	GmRAPD-NAU
GmRAPD-NAU_I	9	GmRAPD-NAU
GmRAPD-NAU_J	10	GmRAPD-NAU
GmRAPD-NAU_K	11	GmRAPD-NAU
GmRAPD-NAU_L	12	GmRAPD-NAU
GmRAPD-NAU_LG13	17	GmRAPD-NAU
GmRAPD-NAU_LG14	18	GmRAPD-NAU
GmRAPD-NAU_LG15	19	GmRAPD-NAU
GmRAPD-NAU_LG16	20	GmRAPD-NAU
GmRAPD-NAU_LG17	21	GmRAPD-NAU
GmRAPD-NAU_LG18	22	GmRAPD-NAU
GmRAPD-NAU_LG19	23	GmRAPD-NAU
GmRAPD-NAU_LG23	24	GmRAPD-NAU
GmRAPD-NAU_LG25	25	GmRAPD-NAU
GmRAPD-NAU_LG26	26	GmRAPD-NAU
GmRAPD-NAU_LG27	27	GmRAPD-NAU
GmRAPD-NAU_LG30	28	GmRAPD-NAU
GmRAPD-NAU_LG31	29	GmRAPD-NAU
GmRAPD-NAU_LG32	30	GmRAPD-NAU
GmRAPD-NAU_LG33	31	GmRAPD-NAU
GmRAPD-NAU_LG34	32	GmRAPD-NAU
GmRAPD-NAU_LG35	33	GmRAPD-NAU
GmRAPD-NAU_LG36	34	GmRAPD-NAU
GmRAPD-NAU_LG37	35	GmRAPD-NAU
GmRAPD-NAU_M	13	GmRAPD-NAU
GmRAPD-NAU_N	14	GmRAPD-NAU
GmRAPD-NAU_P	15	GmRAPD-NAU
GmRAPD-NAU_W	16	GmRAPD-NAU
