TaxonID	3847
#Linkage Group	Number	Genetic Map
GmRFLP-Chiba_A1	1	GmRFLP-Chiba
GmRFLP-Chiba_A2	2	GmRFLP-Chiba
GmRFLP-Chiba_B1	3	GmRFLP-Chiba
GmRFLP-Chiba_B2	4	GmRFLP-Chiba
GmRFLP-Chiba_C2.1	5	GmRFLP-Chiba
GmRFLP-Chiba_C2.2	6	GmRFLP-Chiba
GmRFLP-Chiba_Cba10	7	GmRFLP-Chiba
GmRFLP-Chiba_Cba11	8	GmRFLP-Chiba
GmRFLP-Chiba_Cba12	9	GmRFLP-Chiba
GmRFLP-Chiba_Cba14	10	GmRFLP-Chiba
GmRFLP-Chiba_Cba15	11	GmRFLP-Chiba
GmRFLP-Chiba_Cba16	12	GmRFLP-Chiba
GmRFLP-Chiba_Cba17	13	GmRFLP-Chiba
GmRFLP-Chiba_Cba18	14	GmRFLP-Chiba
GmRFLP-Chiba_Cba19	15	GmRFLP-Chiba
GmRFLP-Chiba_Cba20	16	GmRFLP-Chiba
GmRFLP-Chiba_Cba21	17	GmRFLP-Chiba
GmRFLP-Chiba_Cba22	18	GmRFLP-Chiba
GmRFLP-Chiba_Cba23	19	GmRFLP-Chiba
GmRFLP-Chiba_Cba24	20	GmRFLP-Chiba
GmRFLP-Chiba_Cba25	21	GmRFLP-Chiba
GmRFLP-Chiba_Cba26	22	GmRFLP-Chiba
GmRFLP-Chiba_Cba27	23	GmRFLP-Chiba
GmRFLP-Chiba_Cba28	24	GmRFLP-Chiba
GmRFLP-Chiba_Cba29	25	GmRFLP-Chiba
GmRFLP-Chiba_E	26	GmRFLP-Chiba
GmRFLP-Chiba_F	27	GmRFLP-Chiba
GmRFLP-Chiba_G.1	28	GmRFLP-Chiba
GmRFLP-Chiba_G.2	29	GmRFLP-Chiba
GmRFLP-Chiba_H	30	GmRFLP-Chiba
GmRFLP-Chiba_J	31	GmRFLP-Chiba
GmRFLP-Chiba_K	32	GmRFLP-Chiba
GmRFLP-Chiba_L	33	GmRFLP-Chiba
