#Linkage Group	Number	Genetic Map
GmRFLP-Chiba2_A1	1	GmRFLP-Chiba2
GmRFLP-Chiba2_A2	2	GmRFLP-Chiba2
GmRFLP-Chiba2_B1	3	GmRFLP-Chiba2
GmRFLP-Chiba2_B2	4	GmRFLP-Chiba2
GmRFLP-Chiba2_C1	5	GmRFLP-Chiba2
GmRFLP-Chiba2_C2	6	GmRFLP-Chiba2
GmRFLP-Chiba2_D1a+Q	7	GmRFLP-Chiba2
GmRFLP-Chiba2_D1b+W	8	GmRFLP-Chiba2
GmRFLP-Chiba2_D2	9	GmRFLP-Chiba2
GmRFLP-Chiba2_E	10	GmRFLP-Chiba2
GmRFLP-Chiba2_F	11	GmRFLP-Chiba2
GmRFLP-Chiba2_G	12	GmRFLP-Chiba2
GmRFLP-Chiba2_H	13	GmRFLP-Chiba2
GmRFLP-Chiba2_I	14	GmRFLP-Chiba2
GmRFLP-Chiba2_J	15	GmRFLP-Chiba2
GmRFLP-Chiba2_K	16	GmRFLP-Chiba2
GmRFLP-Chiba2_L	17	GmRFLP-Chiba2
GmRFLP-Chiba2_M.1	18	GmRFLP-Chiba2
GmRFLP-Chiba2_M.2	19	GmRFLP-Chiba2
GmRFLP-Chiba2_N	20	GmRFLP-Chiba2
GmRFLP-Chiba2_O	21	GmRFLP-Chiba2
