TaxonID	3847
Variety	Williams82
#Linkage Group	Number	Genetic Map
GmRFLP-GA1996b_A2.1	1	GmRFLP-GA1996b
GmRFLP-GA1996b_A2.2	2	GmRFLP-GA1996b
GmRFLP-GA1996b_A2.3	3	GmRFLP-GA1996b
GmRFLP-GA1996b_B1.1	4	GmRFLP-GA1996b
GmRFLP-GA1996b_B1.2	5	GmRFLP-GA1996b
GmRFLP-GA1996b_C1.1	6	GmRFLP-GA1996b
GmRFLP-GA1996b_C1.2	7	GmRFLP-GA1996b
GmRFLP-GA1996b_C2.1	8	GmRFLP-GA1996b
GmRFLP-GA1996b_C2.2	9	GmRFLP-GA1996b
GmRFLP-GA1996b_D1	10	GmRFLP-GA1996b
GmRFLP-GA1996b_E	11	GmRFLP-GA1996b
GmRFLP-GA1996b_F.1	12	GmRFLP-GA1996b
GmRFLP-GA1996b_F.2	13	GmRFLP-GA1996b
GmRFLP-GA1996b_G.1	14	GmRFLP-GA1996b
GmRFLP-GA1996b_G.2	15	GmRFLP-GA1996b
GmRFLP-GA1996b_GA2_27	16	GmRFLP-GA1996b
GmRFLP-GA1996b_GA2_28	17	GmRFLP-GA1996b
GmRFLP-GA1996b_GA2_29	18	GmRFLP-GA1996b
GmRFLP-GA1996b_GA2_30	19	GmRFLP-GA1996b
GmRFLP-GA1996b_GA2_31	20	GmRFLP-GA1996b
GmRFLP-GA1996b_GA2_32	21	GmRFLP-GA1996b
GmRFLP-GA1996b_GA2_33	22	GmRFLP-GA1996b
GmRFLP-GA1996b_H.1	23	GmRFLP-GA1996b
GmRFLP-GA1996b_H.2	24	GmRFLP-GA1996b
GmRFLP-GA1996b_J	25	GmRFLP-GA1996b
GmRFLP-GA1996b_K	26	GmRFLP-GA1996b
GmRFLP-GA1996b_L.1	27	GmRFLP-GA1996b
GmRFLP-GA1996b_L.2	28	GmRFLP-GA1996b
GmRFLP-GA1996b_M	29	GmRFLP-GA1996b
GmRFLP-GA1996b_N.1	30	GmRFLP-GA1996b
GmRFLP-GA1996b_N.2	31	GmRFLP-GA1996b
GmRFLP-GA1996b_P	32	GmRFLP-GA1996b
GmRFLP-GA1996b_R	33	GmRFLP-GA1996b
