#Linkage Group	Number	Genetic Map
GmRFLP-KGL_L1	1	GmRFLP-KGL
GmRFLP-KGL_L10	2	GmRFLP-KGL
GmRFLP-KGL_L11	3	GmRFLP-KGL
GmRFLP-KGL_L12	4	GmRFLP-KGL
GmRFLP-KGL_L13	5	GmRFLP-KGL
GmRFLP-KGL_L14	6	GmRFLP-KGL
GmRFLP-KGL_L15	7	GmRFLP-KGL
GmRFLP-KGL_L16	8	GmRFLP-KGL
GmRFLP-KGL_L17	9	GmRFLP-KGL
GmRFLP-KGL_L18	10	GmRFLP-KGL
GmRFLP-KGL_L19	11	GmRFLP-KGL
GmRFLP-KGL_L2	12	GmRFLP-KGL
GmRFLP-KGL_L20	13	GmRFLP-KGL
GmRFLP-KGL_L21	14	GmRFLP-KGL
GmRFLP-KGL_L22	15	GmRFLP-KGL
GmRFLP-KGL_L23	16	GmRFLP-KGL
GmRFLP-KGL_L24	17	GmRFLP-KGL
GmRFLP-KGL_L25	18	GmRFLP-KGL
GmRFLP-KGL_L26	19	GmRFLP-KGL
GmRFLP-KGL_L27	20	GmRFLP-KGL
GmRFLP-KGL_L28	21	GmRFLP-KGL
GmRFLP-KGL_L29	22	GmRFLP-KGL
GmRFLP-KGL_L3	23	GmRFLP-KGL
GmRFLP-KGL_L30	24	GmRFLP-KGL
GmRFLP-KGL_L4	25	GmRFLP-KGL
GmRFLP-KGL_L5	26	GmRFLP-KGL
GmRFLP-KGL_L6	27	GmRFLP-KGL
GmRFLP-KGL_L7	28	GmRFLP-KGL
GmRFLP-KGL_L8	29	GmRFLP-KGL
GmRFLP-KGL_L9	30	GmRFLP-KGL
