#Linkage Group	Number	Genetic Map
GmRFLP-MN1997_A2	1	GmRFLP-MN1997
GmRFLP-MN1997_B1	2	GmRFLP-MN1997
GmRFLP-MN1997_C	3	GmRFLP-MN1997
GmRFLP-MN1997_D	4	GmRFLP-MN1997
GmRFLP-MN1997_E	5	GmRFLP-MN1997
GmRFLP-MN1997_G	6	GmRFLP-MN1997
GmRFLP-MN1997_H	7	GmRFLP-MN1997
GmRFLP-MN1997_I	8	GmRFLP-MN1997
GmRFLP-MN1997_J	9	GmRFLP-MN1997
GmRFLP-MN1997_K	10	GmRFLP-MN1997
GmRFLP-MN1997_L	11	GmRFLP-MN1997
GmRFLP-MN1997_M	12	GmRFLP-MN1997
GmRFLP-MN1997_N1	13	GmRFLP-MN1997
GmRFLP-MN1997_P	14	GmRFLP-MN1997
GmRFLP-MN1997_Q	15	GmRFLP-MN1997
GmRFLP-MN1997_X	16	GmRFLP-MN1997
GmRFLP-MN1997_Y	17	GmRFLP-MN1997
