TaxonID	3847
#Linkage Group	Number	Genetic Map
GmRFLP-USDAARS-RCS_A	1	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_B	2	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_C	3	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_D	4	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_E	5	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_F	6	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_G	7	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_H	8	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_I	9	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_J	10	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_K	11	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_L	12	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_M	13	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_N	14	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_O	15	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_P	16	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_Q	17	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_R	18	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_S	19	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_U	20	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_V	21	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_W	22	GmRFLP-USDAARS-RCS
GmRFLP-USDAARS-RCS_X	23	GmRFLP-USDAARS-RCS
