TaxonID	3847
#Linkage Group	Number	Genetic Map
GmSSR-Nebraska_A1	1	GmSSR-Nebraska
GmSSR-Nebraska_A2	2	GmSSR-Nebraska
GmSSR-Nebraska_B1	3	GmSSR-Nebraska
GmSSR-Nebraska_B2	4	GmSSR-Nebraska
GmSSR-Nebraska_C1	5	GmSSR-Nebraska
GmSSR-Nebraska_C2	6	GmSSR-Nebraska
GmSSR-Nebraska_CH24	7	GmSSR-Nebraska
GmSSR-Nebraska_CH54	8	GmSSR-Nebraska
GmSSR-Nebraska_D1a+Q	9	GmSSR-Nebraska
GmSSR-Nebraska_D1b+W	10	GmSSR-Nebraska
GmSSR-Nebraska_D2	11	GmSSR-Nebraska
GmSSR-Nebraska_E	12	GmSSR-Nebraska
GmSSR-Nebraska_F	13	GmSSR-Nebraska
GmSSR-Nebraska_G	14	GmSSR-Nebraska
GmSSR-Nebraska_H	15	GmSSR-Nebraska
GmSSR-Nebraska_I	16	GmSSR-Nebraska
GmSSR-Nebraska_J	17	GmSSR-Nebraska
GmSSR-Nebraska_K	18	GmSSR-Nebraska
GmSSR-Nebraska_L	19	GmSSR-Nebraska
GmSSR-Nebraska_M	20	GmSSR-Nebraska
GmSSR-Nebraska_N	21	GmSSR-Nebraska
GmSSR-Nebraska_O	22	GmSSR-Nebraska
