#Linkage Group	Number	Genetic Map
GmSSR-Utah2_A1	1	GmSSR-Utah2
GmSSR-Utah2_A2	2	GmSSR-Utah2
GmSSR-Utah2_B1	3	GmSSR-Utah2
GmSSR-Utah2_B2	4	GmSSR-Utah2
GmSSR-Utah2_C1	5	GmSSR-Utah2
GmSSR-Utah2_C2	6	GmSSR-Utah2
GmSSR-Utah2_D1a+Q	7	GmSSR-Utah2
GmSSR-Utah2_D2	8	GmSSR-Utah2
GmSSR-Utah2_E	9	GmSSR-Utah2
GmSSR-Utah2_F	10	GmSSR-Utah2
GmSSR-Utah2_G	11	GmSSR-Utah2
GmSSR-Utah2_H	12	GmSSR-Utah2
GmSSR-Utah2_I	13	GmSSR-Utah2
GmSSR-Utah2_J	14	GmSSR-Utah2
GmSSR-Utah2_K	15	GmSSR-Utah2
GmSSR-Utah2_L	16	GmSSR-Utah2
GmSSR-Utah2_M	17	GmSSR-Utah2
GmSSR-Utah2_N	18	GmSSR-Utah2
GmSSR-Utah2_O	19	GmSSR-Utah2
