TaxonID	3847
#Linkage Group	Number	Genetic Map
GmSSR-Utah3_A1	1	GmSSR-Utah3
GmSSR-Utah3_A2	2	GmSSR-Utah3
GmSSR-Utah3_B1	3	GmSSR-Utah3
GmSSR-Utah3_B2	4	GmSSR-Utah3
GmSSR-Utah3_C1	5	GmSSR-Utah3
GmSSR-Utah3_C2	6	GmSSR-Utah3
GmSSR-Utah3_D1a+Q	7	GmSSR-Utah3
GmSSR-Utah3_D1b+W	8	GmSSR-Utah3
GmSSR-Utah3_D2	9	GmSSR-Utah3
GmSSR-Utah3_E	10	GmSSR-Utah3
GmSSR-Utah3_F	11	GmSSR-Utah3
GmSSR-Utah3_G	12	GmSSR-Utah3
GmSSR-Utah3_H	13	GmSSR-Utah3
GmSSR-Utah3_I	14	GmSSR-Utah3
GmSSR-Utah3_J	15	GmSSR-Utah3
GmSSR-Utah3_K	16	GmSSR-Utah3
GmSSR-Utah3_L	17	GmSSR-Utah3
GmSSR-Utah3_M	18	GmSSR-Utah3
GmSSR-Utah3_N	19	GmSSR-Utah3
GmSSR-Utah3_O	20	GmSSR-Utah3
