#Linkage Group	Number	Genetic Map
GmUSDA1997_A1_1997	1	GmUSDA1997
GmUSDA1997_A2_1997	2	GmUSDA1997
GmUSDA1997_B1_1997	3	GmUSDA1997
GmUSDA1997_B2_1997	4	GmUSDA1997
GmUSDA1997_C1_1997	5	GmUSDA1997
GmUSDA1997_C2_1997	6	GmUSDA1997
GmUSDA1997_D1_1997	7	GmUSDA1997
GmUSDA1997_D2_1997	8	GmUSDA1997
GmUSDA1997_E_1997	9	GmUSDA1997
GmUSDA1997_F_1997	10	GmUSDA1997
GmUSDA1997_G_1997	11	GmUSDA1997
GmUSDA1997_H_1997	12	GmUSDA1997
GmUSDA1997_I_1997	13	GmUSDA1997
GmUSDA1997_J_1997	14	GmUSDA1997
GmUSDA1997_K_1997	15	GmUSDA1997
GmUSDA1997_L_1997	16	GmUSDA1997
GmUSDA1997_M_1997	17	GmUSDA1997
GmUSDA1997_N1_1997	18	GmUSDA1997
GmUSDA1997_N2_1997	19	GmUSDA1997
GmUSDA1997_O_1997	20	GmUSDA1997
GmUSDA1997_P_1997	21	GmUSDA1997
GmUSDA1997_Q_1997	22	GmUSDA1997
GmUSDA1997_R_1997	23	GmUSDA1997
GmUSDA1997_S_1997	24	GmUSDA1997
GmUSDA1997_W_1997	25	GmUSDA1997
GmUSDA1997_Y_1997	26	GmUSDA1997
