#Linkage Group	Number	Genetic Map
GmUtah1996_U10a	1	GmUtah1996
GmUtah1996_U10b	2	GmUtah1996
GmUtah1996_U11	3	GmUtah1996
GmUtah1996_U12	4	GmUtah1996
GmUtah1996_U13	5	GmUtah1996
GmUtah1996_U14	6	GmUtah1996
GmUtah1996_U15	7	GmUtah1996
GmUtah1996_U16	8	GmUtah1996
GmUtah1996_U17	9	GmUtah1996
GmUtah1996_U18	10	GmUtah1996
GmUtah1996_U19	11	GmUtah1996
GmUtah1996_U1a	12	GmUtah1996
GmUtah1996_U1b	13	GmUtah1996
GmUtah1996_U1c	14	GmUtah1996
GmUtah1996_U20	15	GmUtah1996
GmUtah1996_U21	16	GmUtah1996
GmUtah1996_U22	17	GmUtah1996
GmUtah1996_U23	18	GmUtah1996
GmUtah1996_U24	19	GmUtah1996
GmUtah1996_U25	20	GmUtah1996
GmUtah1996_U26	21	GmUtah1996
GmUtah1996_U27	22	GmUtah1996
GmUtah1996_U28	23	GmUtah1996
GmUtah1996_U29	24	GmUtah1996
GmUtah1996_U2a	25	GmUtah1996
GmUtah1996_U2b	26	GmUtah1996
GmUtah1996_U2c	27	GmUtah1996
GmUtah1996_U3	28	GmUtah1996
GmUtah1996_U30	29	GmUtah1996
GmUtah1996_U4	30	GmUtah1996
GmUtah1996_U5	31	GmUtah1996
GmUtah1996_U6	32	GmUtah1996
GmUtah1996_U7	33	GmUtah1996
GmUtah1996_U8	34	GmUtah1996
GmUtah1996_U9	35	GmUtah1996
