#Linkage Group	Number	Genetic Map
GmAFLP-NAU_A	1	GmAFLP-NAU
GmAFLP-NAU_B	2	GmAFLP-NAU
GmAFLP-NAU_C	3	GmAFLP-NAU
GmAFLP-NAU_D	4	GmAFLP-NAU
GmAFLP-NAU_E	5	GmAFLP-NAU
GmAFLP-NAU_F	6	GmAFLP-NAU
GmAFLP-NAU_G	7	GmAFLP-NAU
GmAFLP-NAU_H	8	GmAFLP-NAU
GmAFLP-NAU_I	9	GmAFLP-NAU
GmAFLP-NAU_J	10	GmAFLP-NAU
GmAFLP-NAU_K	11	GmAFLP-NAU
GmAFLP-NAU_L	12	GmAFLP-NAU
GmAFLP-NAU_LG13	18	GmAFLP-NAU
GmAFLP-NAU_LG14	19	GmAFLP-NAU
GmAFLP-NAU_LG15	20	GmAFLP-NAU
GmAFLP-NAU_LG16	21	GmAFLP-NAU
GmAFLP-NAU_LG18	22	GmAFLP-NAU
GmAFLP-NAU_LG19	23	GmAFLP-NAU
GmAFLP-NAU_LG20	24	GmAFLP-NAU
GmAFLP-NAU_LG21	25	GmAFLP-NAU
GmAFLP-NAU_LG22	26	GmAFLP-NAU
GmAFLP-NAU_LG23	27	GmAFLP-NAU
GmAFLP-NAU_LG26	28	GmAFLP-NAU
GmAFLP-NAU_M	13	GmAFLP-NAU
GmAFLP-NAU_N	14	GmAFLP-NAU
GmAFLP-NAU_P	15	GmAFLP-NAU
GmAFLP-NAU_S	16	GmAFLP-NAU
GmAFLP-NAU_W	17	GmAFLP-NAU
GmBSR_J.1	1	GmBSR
GmBSR_J.2	2	GmBSR
GmBSR_J.3	3	GmBSR
GmClassical_A2-CLG7+9	11	GmClassical
GmClassical_B1-CLGunknown	25	GmClassical
GmClassical_B2-CLG17	20	GmClassical
GmClassical_C1-CLG21	24	GmClassical
GmClassical_C2-CLG1a	1	GmClassical
GmClassical_C2-CLG1b	2	GmClassical
GmClassical_C2-CLG1c	3	GmClassical
GmClassical_C2-CLG1d	4	GmClassical
GmClassical_C2-CLG1e	5	GmClassical
GmClassical_D1a-CLG3	6	GmClassical
GmClassical_D1b-CLG11	15	GmClassical
GmClassical_D2-CLG20	23	GmClassical
GmClassical_E-CLG14	18	GmClassical
GmClassical_F-CLG13	17	GmClassical
GmClassical_F-CLG6+8	10	GmClassical
GmClassical_G-CLG18	21	GmClassical
GmClassical_I-CLG4a	7	GmClassical
GmClassical_I-CLG4b	8	GmClassical
