TaxonID	3847
Variety	Williams82
#Linkage Group	Number	Genetic Map
GmMS_D1b+W	1	GmMS
GmNTS_H	1	GmNTS
GmProt_I	1	GmProt
GmRAPD-Sclero_C2	1	GmRAPD-Sclero
GmRAPD-Sclero_K	2	GmRAPD-Sclero
GmRAPD-Sclero_M	3	GmRAPD-Sclero
GmRAPD-SIU_A2	1	GmRAPD-SIU
GmRAPD-SIU_C2	2	GmRAPD-SIU
GmRAPD-SIU_G	3	GmRAPD-SIU
GmRAPD-SIU_N	4	GmRAPD-SIU
GmRcs3_J	1	GmRcs3
GmRFLP-CEW2_C2	1	GmRFLP-CEW2
GmRFLP-CEW2_D1b+W	2	GmRFLP-CEW2
GmRFLP-CEW2_F	3	GmRFLP-CEW2
GmRFLP-CEW2_H	4	GmRFLP-CEW2
GmRFLP-CEW2_M	5	GmRFLP-CEW2
GmRFLP-CEW3_B2	1	GmRFLP-CEW3
GmRFLP-CEW3_F	2	GmRFLP-CEW3
GmRFLP-CEW3_G	3	GmRFLP-CEW3
GmRFLP-CEW3_J	4	GmRFLP-CEW3
GmRFLP-CEW3_M	5	GmRFLP-CEW3
GmRFLP-CEW_D1	1	GmRFLP-CEW
GmRFLP-CEW_H	2	GmRFLP-CEW
GmRFLP-CEW_M	3	GmRFLP-CEW
GmRFLP-Diers_F	1	GmRFLP-Diers
GmRFLP-Diers_G	2	GmRFLP-Diers
GmRFLP-Diers_J	3	GmRFLP-Diers
GmRFLP-Diers_N	4	GmRFLP-Diers
GmRFLP-GA1998_C2	1	GmRFLP-GA1998
GmRFLP-GA1998_E	2	GmRFLP-GA1998
GmRFLP-GA1998_F	3	GmRFLP-GA1998
GmRFLP-GA1998_I	4	GmRFLP-GA1998
GmRFLP-GA1998_L	5	GmRFLP-GA1998
GmRFLP-JPT_D1	1	GmRFLP-JPT
GmRFLP-JPT_E	2	GmRFLP-JPT
GmRFLP-JPT_F	3	GmRFLP-JPT
GmRFLP-JPT_G	4	GmRFLP-JPT
GmRFLP-JPT_O	5	GmRFLP-JPT
GmRFLP-PHB_A	1	GmRFLP-PHB
GmRFLP-PHB_G	2	GmRFLP-PHB
GmRFLP-PHB_M	3	GmRFLP-PHB
GmRFLP-Storage_F	1	GmRFLP-Storage
GmRFLP-Storage_O	2	GmRFLP-Storage
GmRpg1_F.1	1	GmRpg1
GmRpg1_F.2	2	GmRpg1
GmRps1_N.1	3	GmRps1
GmRps1_N.2	4	GmRps1
GmRps7_N	1	GmRps7
GmRsv1_F.1	1	GmRsv1
GmRsv1_F.2	2	GmRsv1
GmRsv4_D1b+W	1	GmRsv4
GmSCN_A2	1	GmSCN
GmSCN_D2	2	GmSCN
GmSCN_G.1	3	GmSCN
GmSCN_G.2	4	GmSCN
GmSCN_G.3	5	GmSCN
GmSCN_H	6	GmSCN
GmSDS_G	1	GmSDS
GmSSR-SIU_G	1	GmSSR-SIU
GmSSR-SIU_I	2	GmSSR-SIU
GmWp_D1b+W	1	GmWp
