TaxonID	3847	
138GA26	First flower 8-2	First flower
214H10	Plant height 6-10	Plant height
214H10	Plant height 6-3	Plant height
21E22.sp2	BSR 5-1	BSR
A006_1	SCN 2-1	SCN
A006_1	SCN 23-1	SCN
A006_1	SCN 24-1	SCN
A006_1	SCN 26-1	SCN
A018_1	Seed palmitic 1-2	Seed palmitic
A018_3	SCN 10-2	SCN
A023_1	Seed linolenic 1-2	Seed linolenic
A023_1	Seed oil 2-7	Seed oil
A023_1	Seed oil 5-3	Seed oil
A023_1	Seed protein 1-7	Seed protein
A023_1	Seed sucrose 1-6	Seed sucrose
A023_1	Seed weight 4-3	Seed weight
A036_1	Phytoph 9-1	Phytoph
A053_2	Seed height 1-3	Seed height
A053_2	Seed height 1-3	Seed height
A059_1	SCN 21-1	SCN
A059_1	Seed weight 2-1	Seed weight
A060_1	Corn earworm 7-4	Corn earworm
A060_1	Lodging 3-4	Lodging
A060_1	Plant height 2-2	Plant height
A060_1	Plant height 3-4	Plant height
A060_1	Plant height 6-13	Plant height
A060_1	Plant height 6-6	Plant height
A060_1	Seed yield to Plant height ratio 1-3	Seed yield to Plant height ratio
A060_2	Plant height 2-4	Plant height
A060_2	Pod maturity 18-4	Pod maturity
A060_2	Pod maturity 3-2	Pod maturity
A060_2	Seed oil 25-2	Seed oil
A060_2	Seed yield 19-4	Seed yield
A060_2	Seed yield 2-1	Seed yield
A063_1	cqSeed oil-001	Seed oil
A063_1	Plant height 5-4	Plant height
A063_1	Pod maturity 6-3	Pod maturity
A063_1	SDS 9-3	SDS
A063_1	Seed abortion 1-9	Seed abortion
A063_1	Seed height 1-14	Seed height
A063_1	Seed height 1-14	Seed height
A063_1	Seed oil 6-1	Seed oil
A063_1	Seed protein 3-3	Seed protein
A063_1	Seed set 1-9	Seed set
A063_1	Seed width 1-11	Seed width
A063_1	Seed width 1-11	Seed width
A063_1	WUE 2-2	WUE
A063_1	WUE 2-3	WUE
A064_4	Corn earworm 6-2	Corn earworm
A065_3	Seed linolenic 1-6	Seed linolenic
A065_3	Seed protein 5-3	Seed protein
A069_1	Seed oil 4-10	Seed oil
A069_1	Seed protein 3-11	Seed protein
A069_2	Seed oil 5-1	Seed oil
A069_2	Seed weight 11-2	Seed weight
A071_2	Seed protein 4-8	Seed protein
A073_1	First flower 10-2	First flower
A073_1	mqSeed Oil-016	Seed Oil
A073_1	Photoperiod insensitivity 2-2	Photoperiod insensitivity
A073_1	Seed oil 24-26	Seed oil
A077_2	Plant height 11-4	Plant height
A077_2	Plant height 7-3	Plant height
A078_1	Phytoph 14-6	Phytoph
A082_1	Seed linoleic 1-1	Seed linoleic
A082_1	Seed oleic 1-1	Seed oleic
