TaxonID	3920
Variety	Williams82
MappingPopulation	Conrad_x_Sloan
Parent	Conrad
Parent	Sloan
Journal	BMC Genomics
Title	Dissection of two soybean QTL conferring partial resistance to Phytophthora sojae through sequence and gene expression analysis
Phytoph 15-1	Reaction to Phytophthora sojae infection
Phytoph 15-2	Reaction to Phytophthora sojae infection
Phytoph 15-3	Reaction to Phytophthora sojae infection
Phytoph 15-4	Reaction to Phytophthora sojae infection
Phytoph 15-5	Reaction to Phytophthora sojae infection
