TaxonID	3847
Variety	Williams82
Parent_1	Fukuyutaka
Parent_2	Himeshirazu
Journal	Breeding Science
Title	Genetic analysis of antixenosis resistance to the common cutworm (Spodoptera litura Fabricius) and its relationship with pubescence characteristics in soybean (Glycine max (L.) Merr.)
Common cutworm 2-1	Reaction to Spodoptera litura
Pubescence density 3-1	Pubescence Density
Pubescence density 3-2	Pubescence Density
Pubescence length 1-1	Pubescence Length
Pubescence length 1-2	Pubescence Length
