TaxonID	3847
Variety	Williams82
Parent_1	Magellan
Parent_2	PI438489B
Title	Confirmation of quantitative trait loci for resistance to multiple-HG types of soybean cyst nematode (Heterodera glycines Ichinohe)
SCN 36-1	Reaction to Heterodera glycines
SCN 36-2	Reaction to Heterodera glycines
SCN 36-3	Reaction to Heterodera glycines
SCN 36-4	Reaction to Heterodera glycines
SCN 36-5	Reaction to Heterodera glycines
SCN 36-6	Reaction to Heterodera glycines
SCN 36-7	Reaction to Heterodera glycines
SCN 36-8	Reaction to Heterodera glycines
