TaxonID	3920
Variety	Williams82
MappingPopulation	KS4303sp_x_PI407818B
Parent	KS4303sp
Parent	PI 407818 B
Journal	Crop Science
Title	Identification and Confirmation of Quantitative Trait Loci Associated with Soybean Seed Hardness
Seed hardness 2-1	Seed hardness
Seed hardness 2-10	Seed hardness
Seed hardness 2-11	Seed hardness
Seed hardness 2-12	Seed hardness
Seed hardness 2-2	Seed hardness
Seed hardness 2-3	Seed hardness
Seed hardness 2-4	Seed hardness
Seed hardness 2-5	Seed hardness
Seed hardness 2-6	Seed hardness
Seed hardness 2-7	Seed hardness
Seed hardness 2-8	Seed hardness
Seed hardness 2-9	Seed hardness
