TaxonID	3847
Variety	Williams82
Parent_1	Wiliams 82
Parent_2	PI 366121
Journal	Crop & Pasture Science
Title	Mapping QTLs for 100-seed weight in an interspecific soybean cross of Williams 82 (Glycine max) and PI 366121 (Glycine soja)
Seed weight 52-1	Seed weight per plant
Seed weight 52-2	Seed weight per plant
Seed weight 52-3	Seed weight per plant
Seed weight 52-4	Seed weight per plant
Seed weight 52-5	Seed weight per plant
Seed weight 52-6	Seed weight per plant
Seed weight 52-7	Seed weight per plant
Seed weight 52-8	Seed weight per plant
Seed weight 52-9	Seed weight per plant
