TaxonID	3847
Variety	Williams82
MappingPopulation	XuyongHongdou(Xu)_x_Baohexuan3
Parent	XuyongHongdou(Xu)
Parent	Baohexuan3
Title	Genetic analysis and QTL detection of reproductive period and post-flowering photoperiod responses in soybean
Reproductive stage length 5-1	Reproductive stage length
Reproductive stage length 5-2	Reproductive stage length
Reproductive stage length 5-3	Reproductive stage length
Reproductive stage length 5-4	Reproductive stage length
Reproductive stage length 5-5	Reproductive stage length
Reproductive stage length 5-6	Reproductive stage length
