TaxonID	3920
Variety	Williams82
MappingPopulation	Conrad_x_Sloan
Parent	Conrad
Parent	Sloan
Title	Identification of soybean genotypes resistant to Fusarium graminearum and genetic mapping of resistance quantitative trait loci in the cultivar Conrad
Fusarium lesion length 1-1	Reaction to Fusarium infection
Fusarium lesion length 1-2	Reaction to Fusarium infection
Fusarium lesion length 1-3	Reaction to Fusarium infection
Fusarium lesion length 1-4	Reaction to Fusarium infection
Fusarium lesion length 1-5	Reaction to Fusarium infection
