TaxonID	3847
Variety	Williams82
Parent_1	ZDD09454
Parent_2	Yudou12
Title	Identification of the quantitative trait loci (QTL) underlying water soluble protein content in soybean
Seed protein 34-1	Seed protein content
Seed protein 34-10	Seed protein content
Seed protein 34-11	Seed protein content
Seed protein 34-2	Seed protein content
Seed protein 34-3	Seed protein content
Seed protein 34-4	Seed protein content
Seed protein 34-5	Seed protein content
Seed protein 34-6	Seed protein content
Seed protein 34-7	Seed protein content
Seed protein 34-8	Seed protein content
Seed protein 34-9	Seed protein content
