TaxonID	3847
Variety	Williams82
MappingPopulation	Zhongdou32_x_Zhongdou29
Parent	Zhongdou32
Parent	Zhongdou29
Title	Quantitative trait loci analysis of stem strength and related traits in soybean
Stem strength, main 1-1	Stem strength
Stem strength, main 1-2	Stem strength
Stem strength, main 1-3	Stem strength
Stem strength, main 1-4	Stem strength
Stem strength, main 1-5	Stem strength
Stem strength, main 1-6	Stem strength
Stem strength, main 1-7	Stem strength
Stem strength, main 1-8	Stem strength
