TaxonID	3847
Variety	Williams82
experiment_id	6
experiment_type	GWAS
SoyBase_ID	KGK20170803.1
number_loci_tested	85
number_germplasm_tested	113
#gwas_id	gwas_name	other_name	gwas_family	gwas_class	trait_SOY_number	QTL_type	QTL_category	locus_id	locus_name	p_value	LOD	R2	chromosome	linkage_group	qtl_start	qtl_end
646	First flower 3-g1		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	12782	Satt408	0.00851138			Gm01	D1a	54400559	54400734
647	First flower 3-g2		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	3209	Satt521	0.001202264			Gm03	N	36674235	36674461
648	First flower 3-g3		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	20070	Satt322	0.005888437			Gm06	C2	12336492	12336709
649	First flower 3-g4		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	21333	Satt636	0.008709636			Gm07	M	1203910	1204081
650	First flower 3-g5		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	21392	Satt150	0.01			Gm07	M	2434259	2434459
651	First flower 3-g6		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	25484	Satt417	0.009120108			Gm09	K	18101942	18102265
652	First flower 3-g7		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	3095	Satt405	0.008317638			Gm16	J	1293196	1293493
653	First flower 3-g8		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	36545	Satt285	0.009120108			Gm16	J	2827903	2828132
654	First flower 3-g9		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	3735	sctt010	0.001			Gm18	G	11551620	11551733
655	First flower 3-g10		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	40545	Satt564	0.000912011			Gm18	G	43342306	43342463
656	First flower 3-g11		First flower 3	First flower	SOY:0001640	QTL_reprod-period	seed_composition_and_yield	43134	Satt614	0.008317638			Gm20	I	3903416	3903722
657	R8 full maturity 3-g1		R8 full maturity 3	R8 full maturity	SOY:0001646	QTL_reprod-period	seed_composition_and_yield	12782	Satt408	0.01			Gm01	D1a	54400559	54400734
