map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	is_landmark
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_13i6a	h2_13i6a	003E02	66.7	66.7	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_24D15R	24D15R	R-24D15R,R_24D15R	4.5	4.5	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001F06b	001F06b	mt016l02,mtgsp_001f06b,mth2-16l2	-12	-12	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_PRTS	PRTS		61.5	61.5	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_10h12k	h2_10h12k		71.8	71.8	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_6m1c	h2_6m1c	c_006m01	59.3	59.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001F03	001F03	mt004c19,mtgsp_001f03,mth2-4c19	-12	-12	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_19c18c	h2_19c18c		32.8	32.8	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_004C07	004C07	mt014g08,mtgsp_004c07,mth2-14g8	72.5	72.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_5j23g	h2_5j23g		56.1	56.1	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_34m4a	h2_34m4a		62.2	62.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_17f20a	h2_17f20a	005E10,a_017f20	61.5	61.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_2e1a	h2_2e1a		62.2	62.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_001E04	001E04	mt006e18,mtgsp_001e04,mth2-6e18	73.2	73.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_10c20a	h2_10c20a		63.7	63.7	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_5J9L	5J9L	R_5J9L	5.9	5.9	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_21i11e	h2_21i11e		62.9	62.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_6g9b	h2_6g9b	b_006g09	11.9	11.9	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_5e21c	h2_5e21c	006B04	13.8	13.8	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_101f3d	h2_101f3d	d_101f03	63	63	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_002D02	002D02		73.2	73.2	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_h2_11d4b	h2_11d4b	b_011d04	32.3	32.3	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_DK201R	DK201R	A352,pA352	59.3	59.3	CAPS	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_005H10	005H10	005H10_2,mt009f16,mtgsp_005h10,mth2-9f16	69.6	69.6	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_e1_1f5e	e1_1f5e		27.5	27.5	SSR	0
MtYoungUMinn2006_3	3	-12	79.4	MtYoungUMinn2006_3_JUNBP	JUNBP		72.5	72.5	SNP	0
